City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
297,muisne,9.2825,105.7261,27.900000000000034,54,54,3.67,VN,1675053585
298,caraz,0.6104,-80.0186,24.74000000000001,90,64,3.5,EC,1675053586
299,nurota,-9.0486,-77.81,16.32000000000005,91,100,1.38,PE,1675053587
300,mainpuri,40.559,65.686,4.25,54,96,2.52,UZ,1675053588
301,morant bay,27.2271,79.0272,18.52000000000004,47,6,3.3,IN,1675053589
302,solnechnyy,17.8821,-76.4116,24.77000000000004,81,13,4.47,JM,1675053590
303,ambodifototra,50.7238,136.6401,-20.529999999999973,90,49,2.65,RU,1675053591
304,yerbogachen,-16.9996,49.8526,27.200000000000045,73,68,1.83,MG,1675053592
305,airai,61.275,108.0097,-13.939999999999998,93,100,2.8,RU,1675053593
306,taoudenni,-8.9266,125.4092,20.80000000000001,81,99,0.8,TL,1675053594
307,nemuro,22.6762,-3.9805,12.629999999999995,17,44,4.69,ML,1675053594
308,kruisfontein,43.3301,145.5829,-4.4599999999999795,48,18,1.57,JP,1675053595
309,wahpeton,-34.012,24.7433,16.110000000000014,66,19,2.72,ZA,1675053596
310,marang,46.2659,-96.6089,-25.599999999999966,76,20,3.09,US,1675053596
311,terrace,5.2065,103.2043,27.180000000000007,85,100,6.48,MY,1675053597
312,lavrentiya,54.5173,-128.5995,-5.0499999999999545,58,0,5.14,CA,1675053598
313,seoul,65.5838,-171.0058,-4.779999999999973,96,100,7.12,RU,1675053599
314,boguchany,37.57,126.98,3.7200000000000273,29,0,5.14,KR,1675053478
315,hasaki,58.3828,97.4616,-10.269999999999982,93,100,3.77,RU,1675053601
316,ewa beach,35.753,140.8201,11.230000000000018,41,10,4.68,JP,1675053601
317,orlik,21.3156,-158.0088,21.660000000000025,85,40,5.14,US,1675053602
318,rapid city,53.731,20.0419,-0.8299999999999841,95,100,8.3,PL,1675053603
319,grass valley,44.0869,-103.2274,-19.49999999999997,78,0,3.09,US,1675053604
320,savonlinna,39.2191,-121.0629,1.3500000000000227,80,0,5.66,US,1675053605
321,bonavista,61.869,28.8797,0.03000000000002956,93,100,6.17,FI,1675053606
322,lagoa,48.6542,-53.1103,-5.0499999999999545,63,78,5.77,CA,1675053607
323,arrifes,37.1326,-8.4551,7.710000000000036,55,0,3.78,PT,1675053607
324,san andres,37.7621,-25.6933,11.29000000000002,82,75,4.63,PT,1675053608
325,kasempa,12.5203,122.0117,24.700000000000045,87,100,10.11,PH,1675053609
326,la ronge,-13.4583,25.8315,17.340000000000032,90,98,1.01,ZM,1675053609
